set_name: HSK1

[cards]
[[front]Radical | [back]Meaning | [back]Interpretation]
xiàwǔ - Afternoon | 下午
xià yǔ - To rain | 下雨
xiānsheng - Mr., sir | 先生
xuéchē - Learning to drive | 学车
xiànzài - Now | 现在
xiǎng - To want, would like | 想
xiǎo - Small, little | 小
xiǎojiě - Miss, young lady | 小姐
xiē - Some, a few | 些
xiě - To write | 写
xièxie - To thank | 谢谢
xīngqī - Week | 星期
xuésheng - student | 学生
xuéxí - To study, to learn | 学习
xuéxiào - School | 学校
xià - (of rain, snow, etc.) to fall | 下
xiàmiàn - Under, below | 下面
xué - To study, to learn | 学
yī - One | 一
yīfu - Clothes | 衣服
yīshēng - Doctor | 医生
yīyuàn - hospital | 医院
yǐzi - Chair | 椅子
yìdiǎnr - A few, a little | 一点儿
yǒu - To have, there be | 有
yǒudiǎnr - Kind of | 有点儿
yuè - month | 月
yě - Also, too | 也
yìqǐ - together | 一起
yǔ - Rain | 雨
zhèr - Here | 这儿
zhèxiē - these | 这些
zhùcí - particle (part.) | 助词
zàijiàn - To see you around | 再见
zài - To be in/on/at; in/on/at | 在
zěnme - (indicating nature, condition or manner, etc.) how | 怎么
zhème - So | 这么
zěnmeyàng - (indicating nature, condition or manner) how | 怎么样
zuò fàn - cook | 做饭
zhèyàng - so | 这样
zhè - This | 这
zhōngwǔ - Noon | 中午
zhù - To live, to stay | 住
zhuōzi - Desk, table | 桌子
zì - Character, word | 字
zuótiān - Yesterday | 昨天
zuò - To sit, to be seated | 坐
zuò - To make, to produce | 做
Zhāng - Zhang, a common Chinese family name | 张
Zhōngguó - China | 中国
